Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return
11039.84,885000,-17687.35546875,177,16.0835,141.2548,177,11371.89
10960.41,890000,-18050.416015625,178,16.448,141.9012,178,11682.64
10585.83,895000,-18427.5,179,16.1341,143.1731,179,9128.4
11409.03,900000,-18208.111328125,180,16.5065,141.7234,180,11882.6
11017.0,905000,-18053.865234375,181,16.9839,142.1134,181,11513.16
10802.6,910000,-18275.556640625,182,16.4434,142.9036,182,11711.56
10873.78,915000,-18526.689453125,183,15.4392,142.7581,183,11541.15
10897.23,920000,-18819.33203125,184,15.7297,141.9499,184,11826.05
11478.53,925000,-18588.19140625,185,16.183,141.1984,185,12049.12
10831.13,930000,-18561.0625,186,16.0239,141.837,186,11220.83
10611.06,935000,-18891.84375,187,14.9547,141.7279,187,10896.23
10926.96,940000,-19424.30078125,188,16.9222,142.7971,188,11200.27
11381.69,945000,-19224.90625,189,15.1383,141.6573,189,11176.69
11084.83,950000,-19172.912109375,190,15.2879,141.8769,190,11837.76
10222.83,955000,-19466.716796875,191,16.5424,142.4342,191,11418.73
11253.17,960000,-19322.14453125,192,16.6133,142.0435,192,11736.36
11338.25,965000,-19602.626953125,193,16.9663,142.8491,193,11807.54
10502.14,970000,-19487.544921875,194,15.9308,141.8019,194,11646.1
10004.28,975000,-20992.759765625,195,15.2282,142.3328,195,11267.65
11237.19,980000,-20244.49609375,196,14.9524,142.3148,196,11719.63
10863.92,985000,-19652.8203125,197,15.8547,141.669,197,11514.4
10811.31,990000,-20808.115234375,198,15.5004,141.6636,198,11391.8
11421.62,995000,-20024.8984375,199,16.8639,141.6388,199,11933.76
10965.68,1000000,-20244.35546875,200,16.0491,142.093,200,11618.99
11192.99,1005000,-20621.732421875,201,16.5392,142.21,201,11759.27
11131.76,1010000,-20652.564453125,202,16.5263,141.8207,202,11706.64
11174.81,1015000,-20388.283203125,203,16.6578,141.8626,203,11720.44
11126.0,1020000,-20374.3359375,204,16.7445,141.7897,204,11692.96
10835.38,1025000,-20673.052734375,205,16.6834,142.2369,205,11360.92
10962.75,1030000,-20566.486328125,206,16.5999,141.6607,206,11576.98
11172.6,1035000,-21223.544921875,207,16.2831,141.4172,207,11801.83
10873.33,1040000,-21308.3515625,208,16.2707,142.3462,208,11354.94
10516.2,1045000,-21572.85546875,209,16.5596,142.3285,209,11122.35
11133.26,1050000,-21501.216796875,210,16.4359,141.4985,210,11184.19
11158.79,1055000,-21133.908203125,211,16.1284,141.9892,211,11514.38
