Running Env Steps,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
1090000,218,6394.66,143.9918,-27165.837890625,15.9147,9082.65,218
1095000,219,8921.08,144.2058,-27178.943359375,15.8656,8677.47,219
1100000,220,5725.2,144.2352,-27370.646484375,16.1835,8480.23,220
1105000,221,5699.73,144.1568,-27903.833984375,15.0446,7813.7,221
1110000,222,4034.62,146.013,-29793.365234375,13.8426,5441.35,222
1115000,223,3977.39,147.5742,-31659.470703125,13.3782,4091.78,223
1120000,224,4657.09,144.9339,-29727.64453125,14.6273,4295.47,224
1125000,225,7919.02,144.2052,-27281.638671875,18.3707,8729.21,225
1130000,226,5937.84,145.0567,-30379.568359375,14.4248,7408.01,226
1135000,227,8977.11,143.6838,-27367.224609375,17.785,8451.24,227
1140000,228,4927.68,146.6885,-32453.07421875,13.8377,8271.66,228
1145000,229,7276.54,145.8141,-30898.38671875,14.0908,6404.84,229
1150000,230,6317.61,143.7659,-30280.84375,15.3597,6474.92,230
1155000,231,8208.22,145.1555,-29935.9453125,16.5364,7825.62,231
1160000,232,9591.22,144.4991,-28852.06640625,17.0879,10249.31,232
1165000,233,9320.06,144.4929,-30038.82421875,16.4345,10171.28,233
1170000,234,9620.87,143.8808,-29692.111328125,16.6865,9773.02,234
1175000,235,8759.05,144.9138,-28291.16796875,17.208,9551.96,235
1180000,236,7431.12,143.905,-30567.466796875,15.2861,8676.07,236
1185000,237,6709.86,145.6714,-32234.49609375,16.1535,8100.53,237
1190000,238,8896.59,143.8403,-30508.9921875,17.0933,8248.53,238
1195000,239,10668.1,143.7459,-29259.439453125,18.2831,10230.04,239
1200000,240,7870.84,143.8097,-29742.697265625,16.9463,9695.32,240
1205000,241,11247.02,143.2586,-26590.537109375,20.6504,11339.0,241
1210000,242,9395.62,143.1276,-28673.744140625,19.3372,11812.19,242
1215000,243,11022.34,143.0653,-28109.37890625,20.7917,11209.94,243
1220000,244,7851.02,142.7984,-30751.77734375,17.3489,8729.91,244
1225000,245,9436.71,143.7318,-29989.056640625,17.3736,8433.22,245
1230000,246,10590.56,142.69,-28164.109375,19.2907,10602.22,246
1235000,247,9716.26,143.0261,-26717.560546875,19.6022,11068.74,247
1240000,248,8440.94,143.5275,-29776.634765625,18.6741,10362.22,248
1245000,249,7271.55,143.5109,-32714.462890625,16.5292,7174.6,249
1250000,250,9676.38,143.3733,-31259.08984375,16.9441,9019.14,250
1255000,251,9371.49,143.8572,-32218.86328125,16.962,9314.08,251
1260000,252,9468.16,141.6468,-27173.568359375,20.6788,10646.58,252
1265000,253,9868.81,142.1451,-29544.650390625,18.9507,8980.25,253
1270000,254,9684.97,143.5915,-33347.35546875,16.5353,8978.09,254
1275000,255,9185.74,143.3386,-31817.87890625,16.398,8502.16,255
