Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps
364,17.443,11126.45,141.6483,-30034.931640625,12219.06,364,1820000
365,17.889,11975.4,141.5495,-29191.84375,12398.36,365,1825000
366,17.4242,11580.91,141.21,-29713.5078125,11930.82,366,1830000
367,17.6628,11945.13,141.2638,-29860.462890625,12198.77,367,1835000
368,17.3506,11579.11,142.3373,-30142.0234375,11881.93,368,1840000
369,18.1039,11956.11,140.9593,-29767.484375,12417.13,369,1845000
370,18.0394,11856.57,142.2338,-30432.443359375,12329.28,370,1850000
371,17.355,11295.19,141.7934,-30613.859375,12117.13,371,1855000
372,17.9729,11904.79,142.6814,-31065.724609375,12332.05,372,1860000
373,17.8082,12048.82,141.2865,-30586.865234375,12520.0,373,1865000
374,17.9473,12008.16,141.5768,-30671.486328125,12465.41,374,1870000
375,16.8231,11975.6,141.7226,-30806.7578125,12494.0,375,1875000
376,18.1892,11949.59,142.2103,-31043.69921875,12342.09,376,1880000
377,17.3962,11773.01,140.8609,-32292.7265625,12514.31,377,1885000
378,17.8129,11813.49,141.5752,-32114.044921875,12241.01,378,1890000
379,17.9881,11844.58,141.8558,-31473.298828125,12241.92,379,1895000
380,17.8697,11713.01,142.8386,-31818.765625,11808.05,380,1900000
381,17.7978,11806.66,141.5223,-31446.359375,12164.04,381,1905000
382,19.1849,12090.82,142.4178,-31844.48046875,12540.49,382,1910000
383,18.4176,11695.62,141.8242,-32842.9921875,12418.05,383,1915000
384,18.6926,12221.6,141.4233,-31847.591796875,12592.09,384,1920000
385,18.8216,12083.03,142.2505,-32608.90625,12431.2,385,1925000
