Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
1195000,2255.39,239,15.1367,-52675.33203125,156.7373,1915.48,239
1200000,2238.67,240,14.9837,-52605.890625,156.6523,1912.8,240
1205000,2253.77,241,15.2847,-52950.65234375,156.6056,1915.95,241
1210000,2248.2,242,15.2757,-53052.76171875,156.6289,1912.26,242
1215000,2239.98,243,15.1468,-53062.52734375,156.7637,1885.98,243
1220000,2267.65,244,15.2452,-53415.6484375,156.6873,1900.32,244
1225000,2256.29,245,15.3211,-53631.20703125,156.7902,1907.0,245
1230000,2238.83,246,15.1256,-53789.8828125,156.6832,1900.1,246
1235000,2260.1,247,15.4102,-54141.03515625,156.7578,1898.83,247
1240000,2285.39,248,15.1916,-54211.77734375,156.7022,1909.37,248
1245000,2245.85,249,15.252,-54504.359375,156.8139,1886.97,249
1250000,2278.29,250,15.311,-54470.8984375,156.656,1913.2,250
1255000,2286.75,251,15.347,-54849.09375,156.7388,1888.5,251
1260000,2270.78,252,15.2641,-54952.35546875,156.6242,1897.26,252
1265000,2265.05,253,15.3278,-54927.34375,156.7541,1886.52,253
1270000,2270.99,254,15.1436,-55196.66796875,156.7768,1888.95,254
1275000,2237.99,255,15.0452,-55428.71875,156.7325,1892.04,255
1280000,2247.88,256,15.1425,-55500.875,156.9274,1875.07,256
1285000,2268.44,257,15.0978,-55802.28515625,156.8116,1895.23,257
1290000,2277.57,258,15.1021,-55833.89453125,156.8662,1875.97,258
1295000,2232.24,259,15.2288,-55956.234375,156.7815,1892.83,259
1300000,2285.94,260,15.2701,-56223.1875,156.8446,1904.74,260
1305000,2287.48,261,15.2268,-56617.3125,156.8025,1887.25,261
1310000,2256.52,262,15.0349,-56483.078125,156.8071,1861.6,262
1315000,2291.11,263,15.2061,-56807.0859375,156.6969,1881.46,263
1320000,2281.7,264,15.219,-56977.66796875,156.7649,1882.67,264
1325000,2278.59,265,15.121,-57017.24609375,156.6558,1892.55,265
1330000,2266.07,266,15.1294,-57274.46484375,156.6264,1859.62,266
1335000,2267.49,267,15.0589,-57403.421875,156.666,1891.35,267
1340000,2290.95,268,15.0678,-57437.7421875,156.9095,1891.61,268
1345000,2273.43,269,15.044,-57856.4765625,156.9122,1876.04,269
1350000,2258.74,270,15.0839,-57947.296875,156.7744,1883.34,270
1355000,2287.02,271,15.2597,-58001.84765625,156.6837,1889.47,271
1360000,2278.68,272,15.0734,-58048.55078125,156.6848,1875.9,272
1365000,2282.54,273,15.0217,-58436.73828125,156.749,1874.29,273
1370000,2286.75,274,15.1219,-58615.0,156.877,1879.4,274
1375000,2279.51,275,15.3216,-58862.69140625,156.622,1879.97,275
1380000,2254.71,276,15.1393,-58897.98046875,156.927,1865.48,276
1385000,2276.62,277,15.0606,-59156.81640625,156.7667,1876.38,277
1390000,2299.13,278,15.1,-59273.69140625,156.7155,1888.55,278
1395000,2277.98,279,15.1597,-59491.47265625,156.6251,1891.14,279
