Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Itration,Running Reverse KL,Real Sto Return
1590000,4261.11,41.3848,-3005.29052734375,318,318,17.1287,4176.62
1595000,4180.2,41.3228,-2922.72119140625,319,319,13.0643,3983.17
1600000,4285.16,41.5132,-3052.013427734375,320,320,14.8305,3865.35
1605000,4276.92,41.65,-3243.66796875,321,321,19.5944,3952.45
1610000,4293.6,41.5911,-2950.100341796875,322,322,14.1559,4004.03
1615000,4335.06,41.7007,-3183.193603515625,323,323,17.6073,3877.77
1620000,4282.93,41.4827,-3200.5673828125,324,324,15.7938,3876.86
1625000,4241.48,41.3195,-3091.81298828125,325,325,13.4479,4096.85
1630000,4283.99,41.405,-3076.024658203125,326,326,16.4197,3538.5
1635000,4381.32,41.4281,-3338.9375,327,327,17.9249,3711.29
1640000,4185.79,41.1271,-3053.87890625,328,328,13.7507,3504.95
1645000,4238.99,41.5716,-3358.267822265625,329,329,15.6,3853.4
1650000,4076.33,41.6795,-3276.5869140625,330,330,17.0655,3313.39
1655000,4200.95,41.4307,-3346.286865234375,331,331,15.7949,3384.28
1660000,4135.17,41.6894,-3369.38427734375,332,332,14.4235,3836.5
1665000,4285.4,41.492,-3352.583740234375,333,333,18.0607,3779.62
1670000,4237.02,41.5156,-3240.122802734375,334,334,13.5805,3987.95
1675000,4229.82,41.899,-3193.4521484375,335,335,13.476,3496.95
1680000,4204.13,41.5633,-3283.411865234375,336,336,14.2964,3820.91
1685000,3698.7,41.8862,-3261.412353515625,337,337,13.547,3838.19
1690000,2737.54,41.6515,-3215.306396484375,338,338,13.7072,3400.08
1695000,4113.17,41.1642,-3456.3681640625,339,339,14.2573,3491.03
1700000,4243.17,41.6504,-3343.409912109375,340,340,13.4743,4090.1
1705000,4264.13,40.6025,-3368.59130859375,341,341,12.8769,3668.22
1710000,4222.16,41.4623,-3394.842529296875,342,342,14.0038,3977.87
1715000,4249.75,40.6952,-3274.51953125,343,343,13.6703,3959.83
1720000,4243.59,40.8814,-3358.792236328125,344,344,13.7847,4030.07
1725000,4276.11,41.0936,-3403.516845703125,345,345,13.808,4001.9
1730000,4298.14,41.889,-3609.375244140625,346,346,16.7023,4184.61
1735000,4383.0,41.034,-3407.64990234375,347,347,14.0056,4072.65
1740000,4343.22,41.7322,-3428.7451171875,348,348,13.771,4214.25
1745000,4318.97,41.3049,-3474.600341796875,349,349,13.4613,4196.67
1750000,4370.36,40.8319,-3461.40771484375,350,350,13.8317,3897.23
1755000,4137.99,41.193,-3658.6494140625,351,351,13.8631,3971.06
1760000,4384.13,41.5224,-3768.52001953125,352,352,17.7086,4216.02
1765000,4314.44,41.2878,-3620.92626953125,353,353,14.8435,3991.45
1770000,4276.66,40.9576,-3599.554931640625,354,354,14.0222,4215.28
1775000,4331.73,41.114,-3556.342041015625,355,355,14.2241,4240.0
1780000,4328.57,41.4763,-3660.919677734375,356,356,13.8712,4198.23
1785000,4255.14,41.3694,-3671.8291015625,357,357,14.5569,3960.78
1790000,4274.68,41.6506,-3656.082275390625,358,358,14.9599,3606.57
1795000,4324.64,41.2162,-3666.101806640625,359,359,13.641,4010.45
1800000,4144.79,40.6136,-3666.756103515625,360,360,14.2204,4071.29
1805000,3581.07,41.4522,-3732.94091796875,361,361,14.8601,4083.97
1810000,4352.74,41.0492,-3841.008544921875,362,362,14.8194,4197.29
1815000,4367.07,41.1764,-3745.868896484375,363,363,14.4065,4187.31
1820000,4288.29,41.5798,-3929.131591796875,364,364,19.207,4182.98
1825000,4279.79,41.5256,-3961.921142578125,365,365,15.7018,4145.09
1830000,2839.48,41.6928,-4045.580810546875,366,366,14.6185,3974.94
1835000,4242.62,41.5245,-4068.15478515625,367,367,14.6265,4109.04
1840000,4320.98,41.2328,-3893.55712890625,368,368,13.9696,4062.74
1845000,4299.5,41.4924,-3882.7119140625,369,369,13.8914,4179.75
1850000,4377.01,41.4121,-3943.242431640625,370,370,13.9401,4063.68
1855000,4389.4,41.0673,-4016.124755859375,371,371,14.2152,4043.48
1860000,4192.92,41.6307,-4235.9296875,372,372,17.2904,4051.67
1865000,4288.79,41.2128,-4056.993408203125,373,373,13.7326,4201.1
1870000,4319.1,41.4279,-4011.282470703125,374,374,15.0837,4207.79
1875000,4253.73,40.8355,-4069.874267578125,375,375,13.872,4178.26
1880000,4255.6,41.0139,-4067.207275390625,376,376,13.6465,4177.84
1885000,4285.79,41.2022,-4118.14453125,377,377,14.178,4195.08
1890000,4298.06,41.4614,-4178.6630859375,378,378,14.1633,4220.48
