Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Env Steps
330,42.5011,330,-9804.8955078125,4053.54,65.7572,4482.08,1650000
331,42.7181,331,-9630.55078125,4178.56,65.072,5514.78,1655000
332,48.424,332,-10332.775390625,4510.75,67.9229,4591.04,1660000
333,41.125,333,-9506.6953125,3664.37,64.6869,4966.69,1665000
334,43.6312,334,-10003.744140625,4891.36,65.4774,5012.93,1670000
335,42.0989,335,-9820.5048828125,4531.31,62.3939,5465.95,1675000
336,43.4027,336,-10080.4287109375,3424.28,65.3346,4476.31,1680000
337,47.7844,337,-10315.51171875,4614.48,64.7049,5676.18,1685000
338,45.9746,338,-10203.923828125,4637.61,64.5238,4878.46,1690000
339,39.0566,339,-9662.28515625,4208.24,63.1975,4856.86,1695000
340,39.896,340,-9448.46484375,3974.56,62.3458,4985.56,1700000
341,47.9897,341,-10381.8115234375,4965.43,63.9128,4842.97,1705000
342,48.4697,342,-10325.775390625,5263.26,66.1804,5503.88,1710000
343,46.2001,343,-10355.427734375,4545.16,65.0205,4937.75,1715000
344,39.9577,344,-9730.2470703125,4480.59,64.1346,4885.76,1720000
345,42.3262,345,-10138.5693359375,4268.53,65.0119,4967.43,1725000
346,46.3645,346,-10344.4326171875,4607.03,64.8629,5511.14,1730000
347,46.8132,347,-10336.6220703125,4297.91,66.4756,5606.61,1735000
348,46.2879,348,-10685.1083984375,4479.95,65.0529,5574.57,1740000
349,48.5882,349,-10502.4140625,4389.74,67.4713,5679.65,1745000
350,52.1523,350,-10775.314453125,5048.32,68.3031,5875.36,1750000
351,45.9167,351,-10583.345703125,3650.51,67.5609,4838.18,1755000
352,44.6561,352,-10134.8720703125,3523.17,65.7447,4581.16,1760000
353,42.7964,353,-10263.818359375,4548.86,65.2546,5542.2,1765000
354,42.8761,354,-9716.705078125,4383.3,64.9558,5311.9,1770000
355,48.8443,355,-10961.8466796875,5299.72,66.7263,5717.23,1775000
356,45.2783,356,-10810.875,4720.01,65.5587,4998.24,1780000
357,44.7664,357,-10607.21484375,3814.9,65.9624,5135.08,1785000
358,43.1138,358,-10296.7412109375,4356.17,64.7589,5098.13,1790000
359,49.0666,359,-11000.2724609375,5105.26,67.0871,5703.86,1795000
360,49.241,360,-11060.880859375,4281.47,66.7554,5073.24,1800000
361,40.2678,361,-9713.2392578125,3557.04,63.3722,4658.82,1805000
362,46.0885,362,-10571.57421875,4066.45,64.732,5228.99,1810000
363,46.7744,363,-10983.2841796875,3459.63,65.0355,4018.74,1815000
364,48.9611,364,-10361.3916015625,4253.15,64.3993,5474.55,1820000
365,49.8037,365,-11055.171875,4611.31,65.1457,4987.67,1825000
366,39.8125,366,-9517.5634765625,2380.57,65.4359,2515.56,1830000
367,58.0781,367,-11226.953125,5274.04,70.1113,5826.55,1835000
368,56.8129,368,-11329.38671875,5606.04,69.3741,6023.43,1840000
369,56.336,369,-11470.51953125,5612.36,68.9284,5747.72,1845000
370,54.36,370,-11472.23828125,5297.02,69.5469,5940.78,1850000
371,58.158,371,-11386.798828125,4014.68,68.8598,5439.67,1855000
372,52.0908,372,-10773.2333984375,4659.37,65.8974,4649.32,1860000
373,57.1592,373,-11368.583984375,4019.32,69.401,4648.94,1865000
374,48.1489,374,-10719.2958984375,4728.72,67.8203,5249.9,1870000
375,58.316,375,-11222.828125,4998.79,70.2126,5721.98,1875000
376,53.7176,376,-11317.7119140625,5370.96,69.1446,5145.74,1880000
377,50.8356,377,-11466.767578125,5264.53,67.0263,6166.78,1885000
378,52.109,378,-11417.9306640625,4777.37,66.9622,5185.84,1890000
379,42.3058,379,-10889.82421875,4149.2,65.3931,4485.22,1895000
380,50.4709,380,-11475.8662109375,5064.29,64.5632,5116.97,1900000
381,43.8426,381,-11061.71875,4591.61,64.5232,4848.15,1905000
