Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Real Det Return
65.4301,1575000,-14497.923828125,27.9833,315,208.17,315,716.16
66.7027,1580000,-15027.42578125,28.2656,316,236.59,316,695.01
68.7802,1585000,-15310.640625,28.955,317,270.62,317,619.63
65.7018,1590000,-14874.525390625,27.7801,318,361.9,318,654.26
67.438,1595000,-15589.3193359375,28.6206,319,178.26,319,597.27
66.4531,1600000,-15143.7705078125,28.3237,320,296.37,320,613.47
66.0919,1605000,-15094.6767578125,27.706,321,201.45,321,463.08
69.5346,1610000,-15893.8408203125,29.4225,322,256.09,322,635.98
66.2696,1615000,-15252.265625,28.1309,323,251.43,323,788.36
67.1782,1620000,-15686.431640625,28.1457,324,253.51,324,726.69
69.4883,1625000,-16003.4482421875,29.5109,325,279.51,325,758.48
65.9176,1630000,-15222.3115234375,27.8201,326,240.37,326,741.59
68.3723,1635000,-16172.935546875,29.1808,327,274.03,327,701.86
66.8887,1640000,-16006.3095703125,28.4769,328,301.92,328,722.6
68.5569,1645000,-16305.763671875,29.2481,329,353.5,329,858.55
67.6721,1650000,-16165.5615234375,28.4595,330,215.84,330,521.28
65.4494,1655000,-15767.9599609375,27.9782,331,214.46,331,575.63
69.4454,1660000,-16479.83984375,29.295,332,258.79,332,875.74
68.3307,1665000,-16694.294921875,28.8443,333,262.33,333,678.78
69.5979,1670000,-16753.5703125,29.3442,334,184.23,334,615.91
67.5794,1675000,-16235.4814453125,28.8888,335,330.48,335,877.75
69.4623,1680000,-16793.330078125,29.361,336,228.54,336,836.86
69.9152,1685000,-17124.71875,29.2443,337,245.79,337,639.22
69.799,1690000,-17155.765625,28.7359,338,156.97,338,433.83
68.8691,1695000,-17264.71484375,29.3987,339,217.62,339,719.92
70.5005,1700000,-17268.580078125,29.8272,340,198.5,340,674.25
69.635,1705000,-17104.9765625,29.5173,341,249.25,341,663.91
70.8,1710000,-17477.1328125,29.6301,342,262.0,342,521.34
66.2688,1715000,-16674.96484375,28.1115,343,273.25,343,649.41
65.301,1720000,-16213.6689453125,27.4368,344,295.58,344,716.8
70.3824,1725000,-17623.298828125,29.8004,345,257.63,345,475.54
69.9203,1730000,-17501.521484375,29.6281,346,168.01,346,775.78
69.5959,1735000,-17396.64453125,29.2444,347,270.57,347,647.71
69.514,1740000,-17437.228515625,28.8076,348,223.41,348,805.27
68.4251,1745000,-17508.03515625,28.6042,349,210.32,349,549.13
70.2771,1750000,-17666.66796875,29.2776,350,220.83,350,745.54
72.2997,1755000,-18102.57421875,30.0812,351,271.36,351,705.26
68.8931,1760000,-17556.681640625,29.3561,352,183.19,352,648.0
68.9072,1765000,-17725.09765625,29.1351,353,194.69,353,733.61
70.7329,1770000,-17930.35546875,29.8693,354,298.07,354,790.42
70.0284,1775000,-17948.6953125,29.4613,355,205.01,355,728.09
66.0854,1780000,-17169.681640625,28.3415,356,244.65,356,794.6
71.7522,1785000,-18091.13671875,29.9636,357,166.72,357,939.44
71.6816,1790000,-18215.48828125,29.8382,358,232.97,358,835.33
69.0373,1795000,-17807.568359375,29.176,359,172.05,359,908.13
69.3503,1800000,-17822.634765625,28.4546,360,165.26,360,820.82
72.2027,1805000,-18359.134765625,29.8328,361,140.59,361,375.35
70.5558,1810000,-18230.44140625,29.6818,362,238.48,362,674.06
67.0709,1815000,-17437.115234375,28.3388,363,234.68,363,625.27
69.0838,1820000,-17984.83984375,29.2877,364,232.89,364,636.46
70.862,1825000,-18179.162109375,29.1903,365,169.04,365,603.62
70.3056,1830000,-18100.59765625,29.3284,366,239.22,366,763.44
69.6862,1835000,-17987.037109375,29.6548,367,283.49,367,698.93
68.4172,1840000,-17889.919921875,29.0141,368,165.01,368,649.81
69.2556,1845000,-18132.529296875,29.1649,369,274.23,369,652.32
68.0402,1850000,-17725.91015625,28.5554,370,213.6,370,733.18
