Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
180,32.5413,900000,-6104.873046875,243.4,180,243.61,28.0317
181,57.3692,905000,-7752.767578125,318.19,181,318.16,29.3461
182,106.0535,910000,-11326.6513671875,1026.32,182,1026.62,36.9968
183,119.2674,915000,-11204.7041015625,352.92,183,352.28,37.1706
184,99.9449,920000,-11223.8662109375,308.93,184,309.02,37.0258
185,41.9815,925000,-8202.283203125,291.63,185,291.04,34.0065
186,43.3082,930000,-6962.9365234375,256.77,186,256.58,26.9139
187,67.2206,935000,-6854.8349609375,208.25,187,214.65,27.2468
188,40.6956,940000,-6877.22314453125,247.38,188,247.04,28.0895
189,114.5348,945000,-11682.8173828125,1032.18,189,1032.09,34.8732
190,112.0283,950000,-11649.630859375,1020.69,190,1020.52,35.9522
191,96.1799,955000,-11790.28515625,1021.3,191,1021.24,36.5407
192,98.852,960000,-11724.1572265625,1019.78,192,1019.8,36.5833
193,99.3594,965000,-12056.9111328125,1022.61,193,1022.68,36.7249
194,63.2121,970000,-10488.04296875,550.55,194,550.21,34.8958
195,51.6749,975000,-8569.068359375,426.12,195,424.7,28.2073
196,98.2028,980000,-12219.9677734375,355.05,196,355.7,36.9826
197,59.9532,985000,-10059.4072265625,287.17,197,287.5,34.4246
198,41.2259,990000,-9558.0478515625,340.82,198,340.28,34.2736
199,69.8243,995000,-7110.37744140625,105.14,199,105.61,27.3472
