Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Itration
935000,2226.45,187,15.4331,-42203.8125,1905.88,156.7378,187
940000,2259.06,188,15.456,-42866.28125,1893.54,156.8086,188
945000,2253.51,189,15.418,-42870.17578125,1896.81,156.7394,189
950000,2260.47,190,15.6899,-43103.8515625,1905.22,156.8213,190
955000,2255.78,191,15.5565,-43275.88671875,1910.5,156.7431,191
960000,2279.76,192,15.779,-43625.77734375,1935.64,156.7431,192
965000,2184.79,193,15.0236,-43394.05859375,1865.3,156.6834,193
970000,2274.64,194,15.5134,-43919.11328125,1903.09,156.7535,194
975000,2222.85,195,15.381,-43790.1484375,1874.73,156.7756,195
980000,2247.25,196,15.3647,-44326.45703125,1888.53,156.7359,196
985000,2274.87,197,15.6657,-44614.12109375,1890.05,156.8295,197
990000,2256.77,198,15.2772,-44481.953125,1886.33,156.5574,198
995000,2272.46,199,15.6861,-44824.4921875,1918.25,156.7138,199
1000000,2263.1,200,15.5922,-45270.40234375,1940.07,156.8083,200
1005000,2295.79,201,15.4709,-45399.2890625,1952.92,156.7825,201
1010000,2266.08,202,15.4944,-45595.55859375,1937.85,156.7462,202
1015000,2279.98,203,15.5798,-45810.40234375,1937.13,156.6579,203
1020000,2288.07,204,15.6774,-45990.5859375,1929.97,156.6091,204
1025000,2294.06,205,15.4423,-46122.7421875,1943.89,156.6684,205
1030000,2271.75,206,15.4661,-46355.09765625,1935.03,156.8828,206
1035000,2261.04,207,15.2726,-46513.07421875,1923.8,156.5835,207
1040000,2263.31,208,15.2345,-46835.4296875,1900.2,156.7109,208
1045000,2281.96,209,15.4794,-47124.12890625,1940.29,156.6366,209
1050000,2286.32,210,15.4038,-47151.09375,1938.82,156.6806,210
1055000,2287.29,211,15.5397,-47553.73046875,1910.05,156.7287,211
1060000,2261.36,212,15.5034,-47745.4921875,1921.31,156.7409,212
1065000,2242.11,213,15.3946,-47774.24609375,1916.81,156.7668,213
1070000,2281.51,214,15.4181,-47946.9921875,1938.73,156.6292,214
1075000,2236.78,215,15.3359,-48105.1015625,1923.77,156.7137,215
1080000,2267.19,216,15.6688,-48565.0703125,1936.85,156.6387,216
1085000,2267.95,217,15.4679,-48499.0859375,1927.92,156.7465,217
1090000,2278.13,218,15.5607,-48775.5546875,1937.24,156.6969,218
1095000,2290.21,219,15.608,-49034.515625,1940.45,156.7366,219
1100000,2267.83,220,15.5578,-49302.96484375,1924.03,156.7196,220
1105000,2292.69,221,15.5218,-49407.359375,1927.34,156.7793,221
1110000,2243.46,222,15.4052,-49271.12890625,1917.72,156.6935,222
1115000,2278.23,223,15.5662,-49670.13671875,1930.26,156.8282,223
1120000,2259.21,224,15.6322,-49967.50390625,1935.45,156.8194,224
1125000,2275.28,225,15.5622,-50036.59375,1938.13,156.6596,225
1130000,2240.2,226,15.3477,-49980.0078125,1910.16,156.6087,226
1135000,2251.35,227,15.467,-50464.84765625,1915.17,156.7622,227
1140000,2242.85,228,15.5157,-50434.15625,1908.99,156.6669,228
1145000,2251.82,229,15.6884,-50709.55078125,1925.85,156.7019,229
1150000,2256.8,230,15.3808,-50907.05078125,1918.82,156.8089,230
1155000,2260.28,231,15.4051,-50825.01171875,1920.83,156.708,231
1160000,2257.38,232,15.5388,-51166.34765625,1929.53,156.8067,232
1165000,2271.06,233,15.6379,-51452.72265625,1937.3,156.6419,233
1170000,2228.71,234,15.2951,-51472.21484375,1915.85,156.6722,234
1175000,2272.34,235,15.4899,-51813.03515625,1953.62,156.703,235
1180000,2245.88,236,15.4556,-51746.234375,1926.3,156.508,236
1185000,2274.9,237,15.5135,-52209.578125,1947.88,156.6552,237
1190000,2295.54,238,15.3554,-52264.703125,1936.09,156.5456,238
1195000,2255.77,239,15.3349,-52291.9921875,1924.11,156.7334,239
1200000,2266.61,240,15.3035,-52492.46484375,1926.69,156.7431,240
1205000,2279.09,241,15.431,-52874.61328125,1949.6,156.6769,241
1210000,2263.14,242,15.2581,-53052.09375,1934.01,156.5894,242
1215000,2268.59,243,15.4619,-53361.1640625,1937.91,156.7124,243
1220000,2301.51,244,15.4683,-53473.93359375,1942.1,156.7848,244
1225000,2246.59,245,15.2241,-53513.4765625,1938.42,156.6012,245
1230000,2265.25,246,15.5062,-53689.66015625,1946.38,156.6355,246
1235000,2279.18,247,15.4473,-53843.375,1934.05,156.7238,247
1240000,2274.61,248,15.492,-54115.1015625,1952.53,156.8079,248
1245000,2263.72,249,15.3647,-54322.90234375,1924.34,156.781,249
1250000,2303.47,250,15.527,-54598.51953125,1941.32,156.8322,250
1255000,2300.34,251,15.3385,-54461.94140625,1945.7,156.6348,251
1260000,2304.76,252,15.5911,-54956.6796875,1943.13,156.7439,252
1265000,2295.98,253,15.4732,-54966.0234375,1950.78,156.6382,253
1270000,2312.55,254,15.5576,-55384.515625,1940.66,156.7231,254
1275000,2309.92,255,15.4829,-55436.3125,1930.23,156.584,255
1280000,2283.24,256,15.5276,-55477.4609375,1934.82,156.7563,256
1285000,2281.45,257,15.4145,-55595.76953125,1941.19,156.6221,257
1290000,2307.53,258,15.3312,-55852.68359375,1918.91,156.6744,258
1295000,2303.38,259,15.351,-55993.02734375,1942.68,156.7118,259
1300000,2316.73,260,15.5455,-56398.7890625,1948.25,156.8746,260
1305000,2305.84,261,15.5493,-56385.84375,1954.84,156.6063,261
1310000,2314.62,262,15.4602,-56565.5078125,1930.08,156.6813,262
1315000,2283.79,263,15.2386,-56679.6640625,1931.66,156.7144,263
1320000,2324.15,264,15.5109,-56902.609375,1951.48,156.6324,264
1325000,2299.96,265,15.5186,-57159.875,1932.73,156.6136,265
1330000,2315.12,266,15.5702,-57174.36328125,1962.72,156.6426,266
1335000,2280.54,267,15.3372,-57196.3046875,1949.41,156.6395,267
1340000,2319.93,268,15.5848,-57479.26171875,1954.15,156.7802,268
1345000,2319.25,269,15.5655,-57646.86328125,1973.88,156.7601,269
1350000,2256.4,270,15.1666,-57093.40625,1889.04,156.6587,270
1355000,2323.33,271,15.5032,-58044.98828125,1992.02,156.5715,271
1360000,1813.11,272,14.9315,-56660.37890625,1505.78,156.9571,272
1365000,-242.33,273,24.5171,-54769.10546875,67.29,158.1187,273
1370000,-177.11,274,14.0895,-54278.7109375,-0.25,156.845,274
1375000,9.91,275,16.3105,-54315.98828125,-33.79,159.4156,275
1380000,-154.64,276,14.543,-59085.0078125,70.39,158.3076,276
1385000,2203.45,277,15.4825,-59560.5078125,1810.34,156.7499,277
1390000,2032.18,278,14.6775,-58303.1796875,1596.74,156.803,278
1395000,1425.46,279,14.9567,-58553.28125,1349.37,156.6765,279
1400000,1584.16,280,15.0767,-57606.9609375,1645.39,156.8435,280
1405000,1894.41,281,14.804,-58210.734375,1732.24,156.8029,281
1410000,2213.1,282,15.3503,-59898.0859375,1885.92,156.8156,282
1415000,2264.75,283,15.4896,-60107.84765625,1916.1,156.6645,283
1420000,1906.23,284,15.0229,-59672.3515625,1744.49,156.63,284
1425000,2215.36,285,15.3122,-60162.04296875,1803.27,156.7607,285
1430000,2303.93,286,15.2786,-60647.6953125,1912.11,156.6205,286
1435000,2254.19,287,15.1428,-60154.22265625,1826.47,156.6146,287
1440000,2244.87,288,15.536,-60521.30859375,1854.15,156.8198,288
1445000,2206.41,289,15.2977,-60490.671875,1856.24,156.6609,289
1450000,-322.85,290,14.9568,-58604.94140625,1617.15,156.6795,290
1455000,1932.39,291,15.8835,-60102.5234375,1706.33,156.8114,291
1460000,2047.4,292,15.7368,-59615.7421875,1687.76,156.5843,292
1465000,2164.66,293,15.8921,-61746.88671875,1800.91,156.7623,293
1470000,-211.24,294,16.9127,-58726.06640625,1236.24,157.0532,294
1475000,1471.89,295,15.658,-61044.34375,1468.41,156.7476,295
1480000,2167.37,296,15.8672,-62827.37890625,1808.11,156.6956,296
1485000,2011.0,297,15.4728,-61963.44140625,1717.47,156.7042,297
1490000,-135.34,298,14.5581,-60952.98828125,1402.04,156.7242,298
1495000,-252.06,299,14.7662,-59937.59375,1283.36,156.7599,299
1500000,-210.7,300,20.3649,-55439.546875,-56.34,159.9363,300
1505000,-274.13,301,14.7342,-57584.27734375,221.0,157.0085,301
1510000,-225.36,302,15.1549,-58391.09375,781.81,156.999,302
1515000,1787.45,303,15.1251,-63120.6015625,1452.35,156.7104,303
1520000,2147.26,304,15.2667,-63112.3125,1799.48,156.5579,304
1525000,2100.63,305,14.6132,-62562.9296875,1726.16,156.6499,305
1530000,2018.93,306,14.8404,-62331.15625,1770.58,156.5495,306
1535000,-58.47,307,14.7106,-61282.56640625,1452.8,156.7331,307
1540000,-69.22,308,15.2483,-61620.85546875,1285.16,156.8261,308
1545000,-168.81,309,14.9328,-57823.09375,92.45,156.9721,309
1550000,-146.83,310,14.6133,-60950.90234375,1001.97,156.9535,310
1555000,2082.08,311,15.0995,-64014.73828125,1549.05,156.616,311
1560000,2035.92,312,15.2255,-63386.859375,1720.42,156.643,312
1565000,2171.82,313,15.4658,-63791.02734375,1814.48,156.6733,313
1570000,2175.09,314,15.362,-63780.453125,1809.82,156.6411,314
1575000,2153.29,315,15.5536,-64081.33203125,1813.45,156.8102,315
1580000,1982.14,316,15.0688,-63584.46484375,1579.35,156.7345,316
1585000,1348.83,317,15.18,-63092.7109375,1257.64,156.8027,317
1590000,-140.41,318,15.6918,-58463.8515625,480.73,156.9711,318
1595000,2128.14,319,15.1852,-64908.8828125,1769.0,156.7731,319
1600000,1918.87,320,15.0781,-64792.83984375,1824.43,156.7196,320
1605000,2145.24,321,15.0252,-64640.27734375,1671.25,156.8533,321
1610000,1772.91,322,15.3758,-65361.21875,1787.46,156.7215,322
1615000,1318.38,323,15.504,-65565.21875,1703.12,156.6814,323
1620000,2262.81,324,15.4364,-66199.1796875,1874.3,156.611,324
1625000,-7.75,325,16.6864,-62828.59375,1039.89,156.66,325
1630000,2215.8,326,15.3456,-65756.046875,1863.86,156.8287,326
1635000,2217.28,327,14.968,-65010.32421875,1843.7,156.6647,327
1640000,1559.71,328,15.9762,-62011.9765625,1354.48,156.6097,328
1645000,2084.32,329,15.2062,-64424.96875,1743.61,156.6026,329
1650000,2084.85,330,15.0682,-66283.0546875,1783.69,156.6481,330
1655000,2035.8,331,14.7428,-65083.07421875,1669.57,156.6046,331
1660000,2104.71,332,14.8557,-65621.7421875,1817.37,156.5312,332
1665000,1226.91,333,17.6893,-63678.18359375,1135.84,157.4293,333
1670000,2024.47,334,15.1857,-67399.828125,1776.4,156.8588,334
1675000,834.92,335,14.3518,-63232.09765625,1392.06,156.7746,335
1680000,2076.76,336,15.0626,-66246.53125,1819.31,156.7262,336
1685000,2042.34,337,15.1954,-66611.5234375,1726.78,156.8262,337
1690000,2119.26,338,15.3402,-66991.4375,1754.96,156.5922,338
1695000,2198.4,339,14.7288,-67705.921875,1832.05,156.4758,339
1700000,2224.28,340,15.3761,-67833.859375,1841.33,156.6985,340
1705000,2222.96,341,15.5442,-67884.3828125,1866.76,156.8629,341
1710000,2184.94,342,15.0198,-67672.5859375,1840.09,156.6888,342
1715000,2192.12,343,15.4721,-67982.125,1855.57,156.8039,343
1720000,1933.14,344,14.9963,-66053.03125,1549.96,157.3423,344
1725000,988.08,345,18.1789,-63102.21484375,771.25,157.6107,345
1730000,2153.21,346,15.3412,-67788.6328125,1823.19,156.8745,346
1735000,2183.91,347,15.4253,-68142.2265625,1854.12,156.7811,347
1740000,1669.64,348,14.8163,-66544.5234375,1438.2,156.8598,348
1745000,2048.26,349,15.0701,-67310.2734375,1722.57,156.478,349
1750000,1353.08,350,15.2242,-65681.3828125,1244.82,156.8587,350
1755000,1848.94,351,14.9612,-66017.28125,1587.15,156.5682,351
1760000,1916.84,352,15.1049,-67990.78125,1650.22,156.7365,352
1765000,2134.77,353,15.2381,-68547.015625,1819.52,156.6508,353
1770000,2060.57,354,14.9106,-67976.5703125,1776.62,156.5308,354
1775000,1023.25,355,15.4416,-65670.28125,948.96,157.2399,355
1780000,1791.39,356,15.1414,-66405.4453125,1532.04,156.7231,356
1785000,2182.8,357,15.413,-69028.8828125,1820.76,156.7786,357
1790000,2197.51,358,15.4315,-69228.515625,1844.33,156.7155,358
1795000,2152.12,359,15.2369,-69236.6953125,1848.36,156.5509,359
1800000,2206.24,360,15.2676,-69541.0546875,1852.11,156.6939,360
1805000,2199.14,361,15.0154,-69532.5625,1853.78,156.6504,361
1810000,2183.24,362,15.2365,-69636.0234375,1860.07,156.6855,362
1815000,2193.23,363,15.1568,-69643.5234375,1848.21,156.6501,363
1820000,2208.21,364,15.1182,-70073.796875,1845.47,156.6479,364
1825000,2178.64,365,15.2263,-70158.3671875,1825.53,156.7191,365
1830000,2194.42,366,15.1454,-70227.25,1852.26,156.6344,366
1835000,2206.16,367,15.1562,-70668.2421875,1828.33,156.6791,367
1840000,2182.12,368,15.0938,-70252.0078125,1848.48,156.5802,368
1845000,2222.24,369,15.049,-70303.3515625,1858.94,156.579,369
1850000,2190.18,370,15.0902,-70617.0390625,1859.52,156.8058,370
1855000,2199.82,371,14.8685,-70459.203125,1838.49,156.5144,371
1860000,2101.76,372,14.8629,-70025.3125,1842.61,156.6978,372
1865000,2133.78,373,15.2964,-69963.9765625,1800.43,156.7553,373
1870000,2160.12,374,15.0245,-70189.703125,1778.18,156.7266,374
1875000,1997.64,375,14.5173,-68862.734375,1677.48,156.5457,375
1880000,2115.79,376,14.717,-69068.7265625,1754.18,156.4861,376
1885000,2120.09,377,14.8373,-70971.3515625,1785.38,156.6794,377
1890000,2200.41,378,15.3292,-71456.28125,1859.54,156.5679,378
1895000,2187.62,379,15.384,-71368.0390625,1866.22,156.8179,379
1900000,2187.16,380,15.1161,-70745.3125,1851.29,156.733,380
1905000,2161.32,381,15.0897,-70816.765625,1828.38,156.732,381
1910000,2163.13,382,15.2029,-71112.96875,1816.03,157.0283,382
1915000,1979.93,383,14.8318,-70856.109375,1676.09,156.9025,383
1920000,2026.82,384,14.5705,-72093.71875,1687.1,156.6863,384
1925000,2106.08,385,14.7026,-72171.09375,1772.45,156.6747,385
1930000,1971.63,386,14.2326,-70874.1328125,1588.13,156.5746,386
1935000,1881.29,387,14.0635,-70740.2265625,1651.71,156.4525,387
1940000,2175.43,388,14.8791,-71912.5078125,1813.75,156.5657,388
1945000,2041.77,389,14.5901,-71454.859375,1715.27,156.5572,389
