Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
245,245,2240.98,1225000,15.9431,1893.32,-9905.7607421875,156.9096
246,246,2282.39,1230000,15.6863,1910.97,-9926.1201171875,157.0026
247,247,2264.14,1235000,15.8227,1903.82,-9974.8232421875,156.9102
248,248,2277.78,1240000,15.851,1904.88,-10018.70703125,156.8726
249,249,2257.12,1245000,15.9206,1891.67,-10055.0283203125,156.8522
250,250,2237.87,1250000,15.6614,1897.01,-10041.2705078125,156.8751
251,251,2239.59,1255000,15.7388,1889.47,-10076.908203125,156.766
252,252,2269.5,1260000,15.8068,1926.47,-10115.5126953125,156.8722
253,253,2261.39,1265000,15.8703,1900.63,-10160.712890625,156.8762
254,254,2255.41,1270000,15.7419,1886.85,-10185.5263671875,156.9123
255,255,2271.39,1275000,15.9051,1920.24,-10224.521484375,156.8154
256,256,2268.72,1280000,15.9303,1895.49,-10252.8896484375,156.7147
257,257,2278.06,1285000,15.8819,1917.44,-10232.638671875,156.7008
258,258,2281.4,1290000,15.9233,1913.22,-10312.66015625,156.9732
259,259,2280.99,1295000,15.6527,1913.68,-10293.7666015625,156.7347
260,260,2259.68,1300000,15.7379,1900.05,-10327.078125,156.6773
261,261,2267.71,1305000,15.7614,1901.85,-10369.642578125,156.7149
262,262,2265.51,1310000,15.552,1894.73,-10376.4208984375,156.649
263,263,2261.53,1315000,15.8182,1899.24,-10460.8671875,156.8111
264,264,2267.22,1320000,15.7732,1926.62,-10484.435546875,156.5915
265,265,2233.59,1325000,15.7389,1897.88,-10469.6611328125,156.8213
266,266,2269.99,1330000,15.6494,1914.6,-10486.58203125,156.7501
267,267,2277.6,1335000,15.5392,1919.41,-10544.7265625,156.8364
268,268,2256.55,1340000,15.6904,1899.39,-10551.525390625,156.7732
269,269,2261.5,1345000,15.6368,1911.74,-10552.4189453125,156.8085
270,270,2283.37,1350000,15.5939,1918.65,-10621.810546875,156.8087
271,271,2241.98,1355000,15.505,1911.44,-10620.8173828125,156.695
272,272,2252.05,1360000,15.6507,1919.27,-10643.3603515625,156.6661
273,273,2256.96,1365000,15.6022,1917.31,-10674.3291015625,156.6223
274,274,2254.09,1370000,15.8478,1919.33,-10720.7646484375,156.7902
275,275,2245.06,1375000,15.8211,1882.77,-10737.2216796875,156.8158
276,276,2251.66,1380000,15.766,1917.46,-10767.431640625,156.8151
277,277,2277.45,1385000,15.7496,1921.17,-10831.8134765625,156.8254
278,278,2271.69,1390000,15.6851,1896.49,-10853.037109375,156.6604
279,279,2243.56,1395000,15.6376,1907.11,-10810.7255859375,156.7163
280,280,2259.07,1400000,15.6819,1914.17,-10899.630859375,156.8473
281,281,2249.5,1405000,15.7218,1909.01,-10855.8828125,156.7849
282,282,2236.56,1410000,15.8082,1904.78,-10928.20703125,156.7706
283,283,2265.91,1415000,15.9022,1915.27,-10960.37109375,156.6985
284,284,2259.96,1420000,15.7685,1926.54,-10947.001953125,156.8452
285,285,2265.1,1425000,15.7711,1932.91,-10986.064453125,156.7899
286,286,2250.48,1430000,15.673,1913.09,-11008.1640625,156.6987
287,287,2263.84,1435000,15.8186,1915.46,-11018.63671875,156.7177
288,288,2265.53,1440000,15.5585,1895.78,-11060.9248046875,156.639
289,289,2253.64,1445000,15.7065,1894.43,-11057.8603515625,156.7183
