Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
1720000,156.5433,344,344,-12037.0576171875,1945.36,2286.64,14.9995
1725000,156.6226,345,345,-12071.6884765625,1942.98,2271.47,14.9991
1730000,156.6073,346,346,-12114.49609375,1950.88,2289.89,15.0791
1735000,156.6007,347,347,-12140.63671875,1971.42,2324.34,15.2714
1740000,156.7375,348,348,-12140.607421875,1954.35,2317.32,14.7876
1745000,156.6277,349,349,-12130.6005859375,1940.4,2292.95,15.1496
1750000,156.7049,350,350,-12167.47265625,1944.53,2268.98,14.9143
1755000,156.5793,351,351,-12188.978515625,1924.15,2289.33,15.0746
1760000,156.5575,352,352,-12259.9091796875,1956.59,2307.26,15.2115
1765000,156.5868,353,353,-12238.9716796875,1947.07,2305.16,15.1265
1770000,156.7196,354,354,-12318.05078125,1936.12,2302.29,15.141
1775000,156.5704,355,355,-12364.7451171875,1962.58,2328.14,15.0127
1780000,156.6029,356,356,-12341.314453125,1957.23,2314.23,15.1557
1785000,156.5972,357,357,-12352.427734375,1945.97,2305.9,14.9994
1790000,156.4982,358,358,-12407.39453125,1954.96,2277.8,14.9903
1795000,156.6344,359,359,-12423.005859375,1953.24,2296.17,15.1238
1800000,156.529,360,360,-12412.0576171875,1958.94,2295.85,15.1034
1805000,156.7458,361,361,-12475.9990234375,1962.8,2309.2,15.1548
1810000,156.4853,362,362,-12459.2744140625,1948.11,2319.43,15.0793
1815000,156.5324,363,363,-12481.365234375,1956.45,2288.21,15.1344
1820000,156.7173,364,364,-12527.82421875,1951.19,2301.14,14.999
1825000,156.6447,365,365,-12542.0224609375,1938.52,2244.03,14.9779
1830000,156.6424,366,366,-12559.8076171875,1936.45,2282.89,15.0337
1835000,156.5125,367,367,-12550.3232421875,1938.09,2282.07,14.9957
1840000,156.6108,368,368,-12628.681640625,1966.45,2318.99,15.1892
1845000,156.6557,369,369,-12581.39453125,1935.22,2241.28,14.9661
1850000,156.6615,370,370,-12635.5859375,1921.0,2296.23,15.0757
1855000,156.597,371,371,-12667.814453125,1934.39,2303.9,14.9613
1860000,156.7155,372,372,-12694.72265625,1964.0,2301.39,15.0831
1865000,156.5981,373,373,-12727.5751953125,1934.66,2307.45,15.0932
1870000,156.5958,374,374,-12709.7685546875,1936.21,2314.04,15.1997
1875000,156.5303,375,375,-12741.2607421875,1926.76,2308.01,15.034
1880000,156.601,376,376,-12800.5615234375,1909.88,2312.02,15.0883
1885000,156.5628,377,377,-12760.9560546875,1942.99,2317.44,15.1099
1890000,156.5494,378,378,-12809.251953125,1961.85,2317.88,15.0923
1895000,156.4672,379,379,-12833.654296875,1941.0,2275.79,15.0207
1900000,156.6206,380,380,-12875.203125,1933.23,2288.93,15.0881
1905000,156.4615,381,381,-12873.1845703125,1952.31,2298.28,15.1298
