Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Env Steps
3475.55,10.9437,169,3383.25,17.5573,-1007.2171020507812,169,845000
1451.69,13.5309,170,1781.68,19.4998,-1760.2445068359375,170,850000
2836.79,10.7449,171,2564.35,19.2549,-1664.4263916015625,171,855000
1745.34,10.4866,172,2724.16,19.5599,-1381.6229248046875,172,860000
3527.04,11.0675,173,3159.54,18.7904,-1357.7098388671875,173,865000
3522.04,11.6782,174,2851.29,19.3513,-1347.424560546875,174,870000
3505.33,12.0418,175,2731.83,19.9439,-1426.270751953125,175,875000
2722.82,16.1241,176,2453.22,21.1931,-1784.329345703125,176,880000
3490.99,11.1496,177,3315.87,18.0042,-1192.2279052734375,177,885000
2514.61,15.1177,178,2113.64,20.7093,-1880.50244140625,178,890000
3455.25,24.3337,179,2754.82,19.468,-2075.566162109375,179,895000
3478.28,11.9347,180,3287.81,18.4505,-1253.8172607421875,180,900000
3543.33,14.4336,181,2146.97,20.6255,-2049.81201171875,181,905000
2370.09,12.6091,182,2672.68,19.3105,-1919.1488037109375,182,910000
3582.63,11.9878,183,2570.07,19.8818,-1568.1634521484375,183,915000
3502.58,20.6604,184,2415.9,19.8223,-2108.3388671875,184,920000
3523.27,12.6723,185,2631.66,20.8575,-1916.387939453125,185,925000
2458.68,17.2049,186,1576.33,22.0447,-2762.0146484375,186,930000
3496.86,11.2757,187,3227.88,18.8862,-1446.9803466796875,187,935000
3531.65,12.494,188,3504.28,18.6494,-1466.642333984375,188,940000
3502.11,11.2009,189,3007.18,19.0872,-1309.99951171875,189,945000
3559.61,11.6693,190,3022.64,19.9622,-1926.04052734375,190,950000
3344.47,11.875,191,3173.36,18.8747,-1142.8497314453125,191,955000
3444.25,10.1862,192,2992.95,17.9125,-1377.927001953125,192,960000
3541.91,11.8813,193,2636.52,19.8344,-2009.9803466796875,193,965000
3485.01,10.8813,194,3148.68,17.9053,-1284.07568359375,194,970000
3557.46,11.2865,195,3187.0,19.5926,-2085.05029296875,195,975000
3382.87,11.4529,196,2689.0,18.9491,-1711.591552734375,196,980000
3537.75,12.2401,197,3382.75,18.7728,-1520.0003662109375,197,985000
3510.29,10.5016,198,3187.92,18.1587,-1824.5750732421875,198,990000
3552.77,12.0514,199,3501.83,19.3249,-1532.646728515625,199,995000
