Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Reward Loss
21.3768,3551.27,2863.81,46.4629,207,1035000,207,-1582.193115234375
38.6803,2845.81,1626.99,47.0395,208,1040000,208,-1965.26318359375
20.9997,3508.78,2397.43,46.9405,209,1045000,209,-1670.896484375
21.0057,3196.06,3193.98,46.9883,210,1050000,210,-1719.1387939453125
20.0738,3215.48,3421.82,46.1392,211,1055000,211,-1685.6981201171875
18.9396,2927.72,2408.44,45.7743,212,1060000,212,-1798.27001953125
15.3724,2303.63,1937.9,46.0869,213,1065000,213,-1814.5235595703125
17.001,2245.89,2248.2,45.4353,214,1070000,214,-1673.8355712890625
17.6068,2888.19,2025.69,45.6414,215,1075000,215,-1749.9840087890625
19.5501,2018.56,1900.81,45.5343,216,1080000,216,-1682.9464111328125
17.3646,2487.36,2891.97,45.5937,217,1085000,217,-1806.4176025390625
20.3347,2234.62,3232.21,45.884,218,1090000,218,-1731.8551025390625
17.049,2112.31,1919.78,45.9516,219,1095000,219,-1897.075439453125
17.5713,1426.02,2272.33,46.0267,220,1100000,220,-1862.349853515625
18.7904,2502.88,2447.92,45.3734,221,1105000,221,-1778.09619140625
17.2694,3472.03,2639.18,45.5347,222,1110000,222,-1806.3507080078125
15.4889,2473.73,2308.01,45.3149,223,1115000,223,-1833.3663330078125
16.5646,2546.97,2662.24,45.4048,224,1120000,224,-1917.9764404296875
21.5762,3373.21,2506.38,45.6016,225,1125000,225,-2048.367431640625
14.2229,1966.06,2449.87,45.7585,226,1130000,226,-1979.9168701171875
15.6259,3857.7,2870.08,45.6314,227,1135000,227,-1893.98193359375
17.3167,3696.46,2792.32,45.4166,228,1140000,228,-1897.378662109375
16.3421,3087.58,3115.45,45.4916,229,1145000,229,-1917.479248046875
15.7093,2085.44,2056.5,45.0907,230,1150000,230,-1892.4324951171875
16.9132,2530.17,3288.6,45.2363,231,1155000,231,-1846.71435546875
16.605,3314.34,3384.21,45.3198,232,1160000,232,-1840.80419921875
17.0746,2950.51,2873.7,45.5167,233,1165000,233,-1862.9371337890625
