Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
174,1001.13,1005.65,37.56,174,-8886.2412109375,30.3422,870000
175,1005.85,1005.97,37.9221,175,-9310.34375,31.6311,875000
176,1006.64,1007.38,37.9652,176,-9222.4345703125,39.1752,880000
177,239.2,212.16,31.7649,177,-8866.6396484375,42.3539,885000
178,217.17,216.9,32.793,178,-9547.6162109375,93.5398,890000
179,228.19,223.9,33.3125,179,-9088.31640625,53.5812,895000
180,277.4,274.72,31.9433,180,-9195.3095703125,54.6193,900000
181,228.65,232.49,31.7905,181,-7491.60595703125,29.0362,905000
182,400.66,471.29,29.2744,182,-8444.01171875,49.5139,910000
183,342.87,329.13,31.0696,183,-9291.931640625,48.0851,915000
184,309.51,313.86,31.5135,184,-9432.416015625,49.2258,920000
185,302.16,300.96,31.0046,185,-9573.0810546875,59.8998,925000
186,326.66,309.12,29.04,186,-9592.6884765625,46.6262,930000
187,178.54,176.64,29.0516,187,-9399.7958984375,51.7453,935000
188,354.4,336.42,29.3931,188,-9388.5244140625,51.2055,940000
189,357.47,332.03,28.9326,189,-6693.69677734375,33.205,945000
190,316.52,309.33,29.3946,190,-6041.57763671875,35.6246,950000
191,324.16,320.34,30.5469,191,-7355.6533203125,55.8925,955000
192,314.09,314.27,29.7694,192,-4818.50830078125,35.9291,960000
193,302.2,313.04,30.1912,193,-7085.767578125,31.3804,965000
194,280.3,278.19,29.0907,194,-4255.46728515625,31.8634,970000
195,387.08,472.55,26.6603,195,-6600.4326171875,58.5249,975000
196,346.44,348.57,27.9664,196,-6295.21044921875,54.9632,980000
197,355.43,345.23,28.9584,197,-6071.03564453125,33.9682,985000
198,387.64,417.49,27.1581,198,-4979.79931640625,46.4246,990000
199,354.89,331.33,29.5928,199,-6921.10986328125,39.8841,995000
