Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
2330.2,288,1440000,-51842.7890625,1955.84,15.5627,156.5973,288
2328.01,289,1445000,-51836.1484375,1963.35,15.4617,156.5919,289
2273.48,290,1450000,-51923.19140625,1934.84,15.2381,156.6119,290
2310.95,291,1455000,-51958.81640625,1959.27,15.4048,156.5255,291
2327.41,292,1460000,-52154.78515625,1951.01,15.3428,156.502,292
2332.55,293,1465000,-52439.515625,1951.16,15.4359,156.6929,293
1957.0,294,1470000,-52490.05859375,1925.44,15.5172,156.5831,294
2185.08,295,1475000,-52629.9921875,1928.97,15.0759,156.5457,295
2313.84,296,1480000,-52644.05078125,1945.37,15.452,156.5849,296
2312.56,297,1485000,-52779.35546875,1948.64,15.3761,156.6413,297
2323.8,298,1490000,-53048.125,1974.74,15.5479,156.6816,298
2326.94,299,1495000,-53034.390625,1938.33,15.4415,156.6129,299
2324.63,300,1500000,-53173.83984375,1962.65,15.4446,156.59,300
2316.9,301,1505000,-53410.51171875,1962.82,15.5294,156.6395,301
2323.19,302,1510000,-53423.56640625,1944.6,15.4604,156.6537,302
2332.43,303,1515000,-53666.09765625,1967.1,15.5641,156.6578,303
2330.18,304,1520000,-53838.484375,1956.07,15.5065,156.6047,304
2310.46,305,1525000,-54271.4921875,1928.06,15.5183,156.5839,305
2312.07,306,1530000,-53830.49609375,1938.66,15.5247,156.6806,306
2288.71,307,1535000,-54020.78515625,1930.83,15.6048,156.7278,307
2323.45,308,1540000,-54450.5703125,1962.98,15.7102,156.795,308
2337.1,309,1545000,-54532.5703125,1989.18,15.8009,156.763,309
2347.58,310,1550000,-54423.81640625,1990.95,15.7315,156.6374,310
2333.36,311,1555000,-54458.546875,1991.03,15.7128,156.6733,311
2320.55,312,1560000,-54455.94140625,1964.7,15.4201,156.331,312
2331.46,313,1565000,-54843.7265625,1984.37,15.621,156.541,313
2325.15,314,1570000,-54929.12109375,1973.74,15.6029,156.6911,314
2328.48,315,1575000,-54937.3046875,1988.24,15.5215,156.5708,315
2337.52,316,1580000,-55338.9375,1986.04,15.6373,156.676,316
2342.49,317,1585000,-55468.96875,1985.47,15.6849,156.6616,317
2340.54,318,1590000,-55507.95703125,1990.07,15.5423,156.6162,318
2338.11,319,1595000,-55575.4921875,1981.19,15.6337,156.5507,319
2328.39,320,1600000,-55894.9375,1969.68,15.5669,156.6315,320
2320.2,321,1605000,-56077.79296875,1969.76,15.5261,156.4826,321
2334.99,322,1610000,-56235.890625,1949.07,15.6243,156.5935,322
2312.8,323,1615000,-56186.85546875,1974.46,15.5615,156.5818,323
2333.63,324,1620000,-56401.29296875,1951.25,15.6938,156.6988,324
2347.72,325,1625000,-56527.03515625,1948.04,15.6521,156.5517,325
2325.28,326,1630000,-56682.79296875,1964.4,15.5127,156.4679,326
2331.73,327,1635000,-56837.28515625,1987.76,15.5833,156.4738,327
2338.31,328,1640000,-56829.63671875,1961.31,15.4904,156.58,328
2337.68,329,1645000,-57086.03125,1976.24,15.365,156.4621,329
2323.13,330,1650000,-57048.58984375,1956.06,15.3774,156.6837,330
2341.09,331,1655000,-57364.2890625,1976.2,15.2869,156.4468,331
2327.76,332,1660000,-57164.34375,1951.61,15.2932,156.579,332
2325.12,333,1665000,-57377.59765625,1952.93,15.2921,156.6986,333
