Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
23.1124,2912.45,1605000,4712.33,321,321,43.8663,-2696.4716796875
24.0871,2357.8,1610000,4543.11,322,322,44.5136,-2749.57421875
23.925,4307.64,1615000,4769.6,323,323,45.3713,-2790.765869140625
22.9049,4100.2,1620000,4607.07,324,324,44.2434,-2799.955078125
22.9711,4125.72,1625000,4642.14,325,325,43.8011,-2757.06884765625
23.1834,4890.52,1630000,4820.41,326,326,44.7551,-2765.010009765625
22.7009,4403.44,1635000,4814.8,327,327,43.4362,-2757.53466796875
21.6874,4879.96,1640000,4781.55,328,328,43.0704,-2797.255126953125
22.339,4878.68,1645000,4838.33,329,329,43.7984,-2810.607421875
21.9219,4918.72,1650000,4827.6,330,330,43.3753,-2847.482177734375
22.2144,4864.56,1655000,4808.9,331,331,43.8978,-2817.4443359375
21.3925,4819.07,1660000,4784.15,332,332,44.0308,-2817.17919921875
21.9493,4899.0,1665000,4647.97,333,333,43.2796,-2852.5810546875
21.9693,4889.89,1670000,4829.81,334,334,43.567,-2871.92333984375
22.3185,4879.5,1675000,4802.46,335,335,43.6585,-2950.75244140625
22.4335,4843.02,1680000,4829.41,336,336,43.461,-2878.383056640625
22.6065,4877.01,1685000,4809.91,337,337,43.6853,-2945.8056640625
22.8357,4829.79,1690000,4831.2,338,338,43.7094,-2972.455810546875
23.4642,4648.59,1695000,4789.81,339,339,43.8807,-2992.541259765625
23.3349,4878.94,1700000,4809.68,340,340,43.8669,-3004.182373046875
22.8065,4834.16,1705000,4827.89,341,341,43.8425,-3023.123291015625
23.0828,4948.6,1710000,4825.5,342,342,43.6431,-3068.80126953125
22.9695,4793.7,1715000,4739.39,343,343,44.1232,-3040.844970703125
22.7058,4878.06,1720000,4802.44,344,344,43.8111,-3066.21142578125
22.673,4869.65,1725000,4819.86,345,345,43.8874,-3106.474609375
21.8292,4866.65,1730000,4799.23,346,346,43.307,-3157.35302734375
22.905,4834.35,1735000,4818.79,347,347,43.9578,-3141.45654296875
22.0403,4868.12,1740000,4819.94,348,348,43.7229,-3125.357421875
21.8427,4920.1,1745000,4783.95,349,349,43.2956,-3185.7373046875
22.3177,4907.18,1750000,4813.87,350,350,43.3545,-3198.093505859375
22.2393,4891.02,1755000,4826.56,351,351,43.2196,-3140.140625
20.9971,4768.21,1760000,4854.23,352,352,42.3278,-3157.183349609375
22.8549,4935.4,1765000,4850.9,353,353,43.4948,-3246.450439453125
22.0646,4895.75,1770000,4814.27,354,354,43.3905,-3246.103271484375
21.7453,4937.69,1775000,4797.29,355,355,43.4279,-3268.577880859375
22.7569,4969.3,1780000,4886.33,356,356,43.29,-3342.961669921875
22.3116,4928.17,1785000,4830.88,357,357,43.7206,-3353.321044921875
22.4154,4878.97,1790000,4786.79,358,358,43.3468,-3363.6494140625
22.1258,4974.06,1795000,4823.77,359,359,43.6698,-3393.4501953125
22.5992,4932.99,1800000,4825.35,360,360,43.7421,-3445.007080078125
21.9484,4847.22,1805000,4827.85,361,361,43.5672,-3436.62939453125
